port_name,direction,data_type,unit,control_point_id,role,model_binding,grounding_status,description_ko
FMU.VLV.HP_FW_ISO_VLV.FAULT_ACTIVE,OUTPUT,Boolean,BOOL,HP_FW_ISO_VLV,FAULT_STATUS,fmuValveAdapter.HP_FW_ISO_VLV.faultActive,FMU_CONNECTED,명령과 분리된 고장상태
FMU.VLV.HP_FW_ISO_VLV.CV,OUTPUT,Real,Cv,HP_FW_ISO_VLV,SOLVED_CV,Vanne_alimentationMPHP1.Cv,FMU_CONNECTED,ThermoSysPro가 계산한 밸브 Cv
FMU.VLV.HP_FW_ISO_VLV.MASS_FLOW,OUTPUT,Real,t/h,HP_FW_ISO_VLV,SOLVED_MASS_FLOW,3.6*(Vanne_alimentationMPHP1.Q),FMU_CONNECTED,밸브 통과 질량유량
FMU.VLV.HP_FW_ISO_VLV.DP,OUTPUT,Real,Pa,HP_FW_ISO_VLV,SOLVED_PRESSURE_DROP,Vanne_alimentationMPHP1.C1.P-Vanne_alimentationMPHP1.C2.P,FMU_CONNECTED,밸브 전후 차압
FMU.VLV.IP_FW_ISO_VLV.MODE_AUTO,INPUT,Boolean,BOOL,IP_FW_ISO_VLV,AUTO_MAN_SELECT,fmuValveAdapter.IP_FW_ISO_VLV.modeAuto,FMU_CONNECTED,AUTO 모드 선택
FMU.VLV.IP_FW_ISO_VLV.MAN_CMD,INPUT,Real,pu,IP_FW_ISO_VLV,MANUAL_COMMAND,fmuValveAdapter.IP_FW_ISO_VLV.manualCmd,FMU_CONNECTED,FMU 외부 수동 개도명령
FMU.VLV.IP_FW_ISO_VLV.FAULT_ENABLE,INPUT,Boolean,BOOL,IP_FW_ISO_VLV,FAULT_ENABLE,fmuValveAdapter.IP_FW_ISO_VLV.faultEnable,FMU_CONNECTED,밸브 고장 주입 활성
FMU.VLV.IP_FW_ISO_VLV.FAULT_VALUE,INPUT,Real,pu,IP_FW_ISO_VLV,FAULT_FORCED_VALUE,fmuValveAdapter.IP_FW_ISO_VLV.faultValue,FMU_CONNECTED,고장 시 실제 강제 개도
FMU.VLV.IP_FW_ISO_VLV.AUTO_CMD,OUTPUT,Real,pu,IP_FW_ISO_VLV,AUTOMATIC_COMMAND,arretPomesHP1.y.signal,FMU_CONNECTED,기존 자동제어기 또는 원래 신호의 명령
FMU.VLV.IP_FW_ISO_VLV.CMD,OUTPUT,Real,pu,IP_FW_ISO_VLV,SELECTED_COMMAND,fmuValveAdapter.IP_FW_ISO_VLV.selectedCmd,FMU_CONNECTED,AUTO/MAN 선택 후 정상 명령
FMU.VLV.IP_FW_ISO_VLV.FB,OUTPUT,Real,pu,IP_FW_ISO_VLV,APPLIED_POSITION,Vanne_alimentationMPHP2.Cv/Vanne_alimentationMPHP2.Cvmax,FMU_CONNECTED,고장 반영 후 모델에 실제 적용되는 밸브 개도
FMU.VLV.IP_FW_ISO_VLV.DEVIATION,OUTPUT,Real,pu,IP_FW_ISO_VLV,COMMAND_FEEDBACK_DEVIATION,fmuValveAdapter.IP_FW_ISO_VLV.deviation,FMU_CONNECTED,CMD와 FB의 편차
FMU.VLV.IP_FW_ISO_VLV.FAULT_ACTIVE,OUTPUT,Boolean,BOOL,IP_FW_ISO_VLV,FAULT_STATUS,fmuValveAdapter.IP_FW_ISO_VLV.faultActive,FMU_CONNECTED,명령과 분리된 고장상태
FMU.VLV.IP_FW_ISO_VLV.CV,OUTPUT,Real,Cv,IP_FW_ISO_VLV,SOLVED_CV,Vanne_alimentationMPHP2.Cv,FMU_CONNECTED,ThermoSysPro가 계산한 밸브 Cv
FMU.VLV.IP_FW_ISO_VLV.MASS_FLOW,OUTPUT,Real,t/h,IP_FW_ISO_VLV,SOLVED_MASS_FLOW,3.6*(Vanne_alimentationMPHP2.Q),FMU_CONNECTED,밸브 통과 질량유량
FMU.VLV.IP_FW_ISO_VLV.DP,OUTPUT,Real,Pa,IP_FW_ISO_VLV,SOLVED_PRESSURE_DROP,Vanne_alimentationMPHP2.C1.P-Vanne_alimentationMPHP2.C2.P,FMU_CONNECTED,밸브 전후 차압
FMU.VLV.IP_TURB_ADM_VLV.MODE_AUTO,INPUT,Boolean,BOOL,IP_TURB_ADM_VLV,AUTO_MAN_SELECT,fmuValveAdapter.IP_TURB_ADM_VLV.modeAuto,FMU_CONNECTED,AUTO 모드 선택
FMU.VLV.IP_TURB_ADM_VLV.MAN_CMD,INPUT,Real,pu,IP_TURB_ADM_VLV,MANUAL_COMMAND,fmuValveAdapter.IP_TURB_ADM_VLV.manualCmd,FMU_CONNECTED,FMU 외부 수동 개도명령
FMU.VLV.IP_TURB_ADM_VLV.FAULT_ENABLE,INPUT,Boolean,BOOL,IP_TURB_ADM_VLV,FAULT_ENABLE,fmuValveAdapter.IP_TURB_ADM_VLV.faultEnable,FMU_CONNECTED,밸브 고장 주입 활성
FMU.VLV.IP_TURB_ADM_VLV.FAULT_VALUE,INPUT,Real,pu,IP_TURB_ADM_VLV,FAULT_FORCED_VALUE,fmuValveAdapter.IP_TURB_ADM_VLV.faultValue,FMU_CONNECTED,고장 시 실제 강제 개도
FMU.VLV.IP_TURB_ADM_VLV.AUTO_CMD,OUTPUT,Real,pu,IP_TURB_ADM_VLV,AUTOMATIC_COMMAND,ConstantVanneTurbineMP.y.signal,FMU_CONNECTED,기존 자동제어기 또는 원래 신호의 명령
FMU.VLV.IP_TURB_ADM_VLV.CMD,OUTPUT,Real,pu,IP_TURB_ADM_VLV,SELECTED_COMMAND,fmuValveAdapter.IP_TURB_ADM_VLV.selectedCmd,FMU_CONNECTED,AUTO/MAN 선택 후 정상 명령
FMU.VLV.IP_TURB_ADM_VLV.FB,OUTPUT,Real,pu,IP_TURB_ADM_VLV,APPLIED_POSITION,vanne_entree_TurbineMP.Cv/vanne_entree_TurbineMP.Cvmax,FMU_CONNECTED,고장 반영 후 모델에 실제 적용되는 밸브 개도
FMU.VLV.IP_TURB_ADM_VLV.DEVIATION,OUTPUT,Real,pu,IP_TURB_ADM_VLV,COMMAND_FEEDBACK_DEVIATION,fmuValveAdapter.IP_TURB_ADM_VLV.deviation,FMU_CONNECTED,CMD와 FB의 편차
FMU.VLV.IP_TURB_ADM_VLV.FAULT_ACTIVE,OUTPUT,Boolean,BOOL,IP_TURB_ADM_VLV,FAULT_STATUS,fmuValveAdapter.IP_TURB_ADM_VLV.faultActive,FMU_CONNECTED,명령과 분리된 고장상태
FMU.VLV.IP_TURB_ADM_VLV.CV,OUTPUT,Real,Cv,IP_TURB_ADM_VLV,SOLVED_CV,vanne_entree_TurbineMP.Cv,FMU_CONNECTED,ThermoSysPro가 계산한 밸브 Cv
FMU.VLV.IP_TURB_ADM_VLV.MASS_FLOW,OUTPUT,Real,t/h,IP_TURB_ADM_VLV,SOLVED_MASS_FLOW,3.6*(vanne_entree_TurbineMP.Q),FMU_CONNECTED,밸브 통과 질량유량
FMU.VLV.IP_TURB_ADM_VLV.DP,OUTPUT,Real,Pa,IP_TURB_ADM_VLV,SOLVED_PRESSURE_DROP,vanne_entree_TurbineMP.C1.P-vanne_entree_TurbineMP.C2.P,FMU_CONNECTED,밸브 전후 차압
