browse_name,node_id,variant_type,access_level,user_access_level,current_value,numeric,finite,live_validated,read_error
time,FourByteNodeId(i=10004),Variant,,,9.76,Y,Y,Y,
vppCondenserSteamVolume.pro.x,NumericNodeId(ns=1;i=100011933),Variant,,,0.9237501184224199,Y,Y,Y,
vppCondenserSteamVolume.rho,NumericNodeId(ns=1;i=100011934),Variant,,,0.0738020741628481,Y,Y,Y,
vppECMS52GTClosedCommandNative,NumericNodeId(ns=1;i=100011935),Variant,,,1.0,Y,Y,Y,
vppECMS52STClosedCommandNative,NumericNodeId(ns=1;i=100011936),Variant,,,1.0,Y,Y,Y,
vppECMSBusAAvailable,NumericNodeId(ns=1;i=200000292),Variant,,,True,Y,Y,Y,
vppECMSBusBAvailable,NumericNodeId(ns=1;i=200000293),Variant,,,True,Y,Y,Y,
vppECMSCBInAClosed,NumericNodeId(ns=1;i=200000294),Variant,,,True,Y,Y,Y,
vppECMSCBInAClosedCommandNative,NumericNodeId(ns=1;i=100011937),Variant,,,1.0,Y,Y,Y,
vppECMSCBInBClosed,NumericNodeId(ns=1;i=200000295),Variant,,,True,Y,Y,Y,
vppECMSCBInBClosedCommandNative,NumericNodeId(ns=1;i=100011938),Variant,,,1.0,Y,Y,Y,
vppECMSCBTieClosed,NumericNodeId(ns=1;i=200000296),Variant,,,False,Y,Y,Y,
vppECMSCBTieClosedCommandNative,NumericNodeId(ns=1;i=100011939),Variant,,,0.0,Y,Y,Y,
vppECMSVCBA01Closed,NumericNodeId(ns=1;i=200000297),Variant,,,True,Y,Y,Y,
vppECMSVCBA02Closed,NumericNodeId(ns=1;i=200000298),Variant,,,True,Y,Y,Y,
vppECMSVCBB01Closed,NumericNodeId(ns=1;i=200000299),Variant,,,True,Y,Y,Y,
vppExternalSTTripCommandNative,NumericNodeId(ns=1;i=100011940),Variant,,,0.0,Y,Y,Y,
vppExternalTripCommandNative,NumericNodeId(ns=1;i=100011941),Variant,,,0.0,Y,Y,Y,
vppGTBreakerOpenCauseState,NumericNodeId(ns=1;i=200000300),Variant,,,False,Y,Y,Y,
vppGTExhaustMassFlowCommand.signal,NumericNodeId(ns=1;i=100011942),Variant,,,606.94,Y,Y,Y,
vppGTExhaustMassFlowState,NumericNodeId(ns=1;i=100000250),Variant,,,606.94,Y,Y,Y,
vppGTExhaustMassFlowTH,NumericNodeId(ns=1;i=100011943),Variant,,,2184.9840000000004,Y,Y,Y,
vppGTExhaustTemperatureCommand.signal,NumericNodeId(ns=1;i=100011944),Variant,,,893.75,Y,Y,Y,
vppGTExhaustTemperatureK,NumericNodeId(ns=1;i=100011945),Variant,,,893.75,Y,Y,Y,
vppGTExhaustTemperatureState,NumericNodeId(ns=1;i=100000251),Variant,,,893.75,Y,Y,Y,
vppGTGPowerMW,NumericNodeId(ns=1;i=100011946),Variant,,,160.0,Y,Y,Y,
vppGTGSpeedRPM,NumericNodeId(ns=1;i=100011947),Variant,,,3600.0,Y,Y,Y,
vppGTTripAssertTime,NumericNodeId(ns=1;i=100012232),Variant,,,0.0,Y,Y,Y,
vppGTTripCmd,NumericNodeId(ns=1;i=200000301),Variant,,,False,Y,Y,Y,
vppGTTripLatch,NumericNodeId(ns=1;i=200000302),Variant,,,False,Y,Y,Y,
vppGTTripLatchInternal,NumericNodeId(ns=1;i=200000303),Variant,,,False,Y,Y,Y,
vppGTTripRequest,NumericNodeId(ns=1;i=200000304),Variant,,,False,Y,Y,Y,
vppGTTripResetNative,NumericNodeId(ns=1;i=100011948),Variant,,,0.0,Y,Y,Y,
vppHPAdmissionPos,NumericNodeId(ns=1;i=100000252),Variant,,,0.8,Y,Y,Y,
vppHPBypassCloseLS,NumericNodeId(ns=1;i=200000305),Variant,,,True,Y,Y,Y,
vppHPBypassCmd,NumericNodeId(ns=1;i=100011949),Variant,,,0.0,Y,Y,Y,
vppHPBypassInletPressure,NumericNodeId(ns=1;i=100011950),Variant,,,12681000.046832455,Y,Y,Y,
vppHPBypassInletTemperature,NumericNodeId(ns=1;i=100011951),Variant,,,807.2521994019393,Y,Y,Y,
vppHPBypassMassFlow,NumericNodeId(ns=1;i=100011952),Variant,,,0.0,Y,Y,Y,
vppHPBypassMassFlowTH,NumericNodeId(ns=1;i=100011953),Variant,,,0.0,Y,Y,Y,
vppHPBypassOpenLS,NumericNodeId(ns=1;i=200000306),Variant,,,False,Y,Y,Y,
vppHPBypassOutletPressure,NumericNodeId(ns=1;i=100011954),Variant,,,2726700.05095724,Y,Y,Y,
vppHPBypassOutletTemperature,NumericNodeId(ns=1;i=100011955),Variant,,,588.4788787618854,Y,Y,Y,
vppHPBypassPos,NumericNodeId(ns=1;i=100000253),Variant,,,0.0,Y,Y,Y,
vppHPBypassValve.C1.P,NumericNodeId(ns=1;i=150002758),Variant,,,12681000.047214184,Y,Y,Y,
vppHPBypassValve.C1.Q,NumericNodeId(ns=1;i=150002759),Variant,,,0.0,Y,Y,Y,
vppHPBypassValve.C1.a,NumericNodeId(ns=1;i=200000307),Variant,,,True,Y,Y,Y,
vppHPBypassValve.C1.b,NumericNodeId(ns=1;i=250000339),Variant,,,True,Y,Y,Y,
vppHPBypassValve.C1.h,NumericNodeId(ns=1;i=150002760),Variant,,,3432930.99361704,Y,Y,Y,
vppHPBypassValve.C1.h_vol,NumericNodeId(ns=1;i=150002761),Variant,,,3432930.99361704,Y,Y,Y,
vppHPBypassValve.C2.P,NumericNodeId(ns=1;i=150002762),Variant,,,2726700.05095724,Y,Y,Y,
vppHPBypassValve.C2.Q,NumericNodeId(ns=1;i=150002763),Variant,,,0.0,Y,Y,Y,
vppHPBypassValve.C2.a,NumericNodeId(ns=1;i=250000340),Variant,,,True,Y,Y,Y,
vppHPBypassValve.C2.b,NumericNodeId(ns=1;i=200000308),Variant,,,True,Y,Y,Y,
vppHPBypassValve.C2.h,NumericNodeId(ns=1;i=150002764),Variant,,,3432930.993618935,Y,Y,Y,
vppHPBypassValve.C2.h_vol,NumericNodeId(ns=1;i=150002765),Variant,,,3040245.428043964,Y,Y,Y,
vppHPBypassValve.Cv,NumericNodeId(ns=1;i=100011956),Variant,,,0.0,Y,Y,Y,
vppHPBypassValve.Ouv.signal,NumericNodeId(ns=1;i=150002766),Variant,,,0.0,Y,Y,Y,
vppHPBypassValve.Q,NumericNodeId(ns=1;i=150002767),Variant,,,0.0,Y,Y,Y,
vppHPBypassValve.deltaP,NumericNodeId(ns=1;i=100011957),Variant,,,9954299.996395638,Y,Y,Y,
vppHPColdReheatVolume.BH,NumericNodeId(ns=1;i=100011958),Variant,,,0.0033687949180603027,Y,Y,Y,
vppHPColdReheatVolume.BQ,NumericNodeId(ns=1;i=100011959),Variant,,,0.0,Y,Y,Y,
vppHPColdReheatVolume.Ce1.P,NumericNodeId(ns=1;i=150002768),Variant,,,2726700.0512019745,Y,Y,Y,
vppHPColdReheatVolume.Ce1.Q,NumericNodeId(ns=1;i=150002769),Variant,,,151.76909927716886,Y,Y,Y,
vppHPColdReheatVolume.Ce1.a,NumericNodeId(ns=1;i=200000309),Variant,,,True,Y,Y,Y,
vppHPColdReheatVolume.Ce1.b,NumericNodeId(ns=1;i=250000341),Variant,,,True,Y,Y,Y,
vppHPColdReheatVolume.Ce1.h,NumericNodeId(ns=1;i=150002770),Variant,,,3046003.38544122,Y,Y,Y,
vppHPColdReheatVolume.Ce1.h_vol,NumericNodeId(ns=1;i=150002771),Variant,,,3040245.428056483,Y,Y,Y,
vppHPColdReheatVolume.Ce2.P,NumericNodeId(ns=1;i=150002772),Variant,,,2726700.051446608,Y,Y,Y,
vppHPColdReheatVolume.Ce2.Q,NumericNodeId(ns=1;i=150002773),Variant,,,0.0,Y,Y,Y,
vppHPColdReheatVolume.Ce2.a,NumericNodeId(ns=1;i=200000310),Variant,,,True,Y,Y,Y,
vppHPColdReheatVolume.Ce2.b,NumericNodeId(ns=1;i=250000342),Variant,,,True,Y,Y,Y,
vppHPColdReheatVolume.Ce2.h,NumericNodeId(ns=1;i=150002774),Variant,,,3432930.9936208217,Y,Y,Y,
vppHPColdReheatVolume.Ce2.h_vol,NumericNodeId(ns=1;i=150002775),Variant,,,3040245.428056483,Y,Y,Y,
vppHPColdReheatVolume.Ce3.P,NumericNodeId(ns=1;i=150002776),Variant,,,2726700.051446608,Y,Y,Y,
vppHPColdReheatVolume.Ce3.Q,NumericNodeId(ns=1;i=150002777),Variant,,,0.0,Y,Y,Y,
vppHPColdReheatVolume.Ce3.a,NumericNodeId(ns=1;i=200000311),Variant,,,True,Y,Y,Y,
vppHPColdReheatVolume.Ce3.b,NumericNodeId(ns=1;i=250000343),Variant,,,True,Y,Y,Y,
vppHPColdReheatVolume.Ce3.h_vol,NumericNodeId(ns=1;i=150002779),Variant,,,3040245.428068952,Y,Y,Y,
vppHPColdReheatVolume.Cs.P,NumericNodeId(ns=1;i=150002780),Variant,,,2726700.0516910693,Y,Y,Y,
vppHPColdReheatVolume.Cs.Q,NumericNodeId(ns=1;i=100011960),Variant,,,151.76909928525956,Y,Y,Y,
vppHPColdReheatVolume.Cs.a,NumericNodeId(ns=1;i=250000344),Variant,,,True,Y,Y,Y,
vppHPColdReheatVolume.Cs.b,NumericNodeId(ns=1;i=200000312),Variant,,,True,Y,Y,Y,
vppHPColdReheatVolume.Cs.h,NumericNodeId(ns=1;i=100011961),Variant,,,3046003.385433449,Y,Y,Y,
vppHPColdReheatVolume.Cs.h_vol,NumericNodeId(ns=1;i=150002781),Variant,,,3040245.428068952,Y,Y,Y,
vppHPColdReheatVolume.P,NumericNodeId(ns=1;i=150002782),Variant,,,2726700.0516910693,Y,Y,Y,
vppHPColdReheatVolume.Pthermo,NumericNodeId(ns=1;i=100011962),Variant,,,2726700.0516910693,Y,Y,Y,
vppHPColdReheatVolume.T,NumericNodeId(ns=1;i=150002783),Variant,,,588.4788787857468,Y,Y,Y,
vppHPColdReheatVolume.h,NumericNodeId(ns=1;i=100011963),Variant,,,3040245.428068952,Y,Y,Y,
vppHPColdReheatVolume.pro.T,NumericNodeId(ns=1;i=150002784),Variant,,,588.4788787857468,Y,Y,Y,
vppHPColdReheatVolume.pro.cp,NumericNodeId(ns=1;i=100011964),Variant,,,2412.290927363687,Y,Y,Y,
vppHPColdReheatVolume.pro.d,NumericNodeId(ns=1;i=100011965),Variant,,,10.722609192473639,Y,Y,Y,
vppHPColdReheatVolume.pro.ddhp,NumericNodeId(ns=1;i=100011966),Variant,,,-9.760327803210152e-06,Y,Y,Y,
vppHPColdReheatVolume.pro.ddph,NumericNodeId(ns=1;i=100011967),Variant,,,3.955661669893763e-06,Y,Y,Y,
vppHPColdReheatVolume.pro.duhp,NumericNodeId(ns=1;i=100011968),Variant,,,0.768526746919793,Y,Y,Y,
vppHPColdReheatVolume.pro.duph,NumericNodeId(ns=1;i=100011969),Variant,,,0.0005505026940685886,Y,Y,Y,
vppHPColdReheatVolume.pro.s,NumericNodeId(ns=1;i=100011970),Variant,,,6661.178622142471,Y,Y,Y,
vppHPColdReheatVolume.pro.u,NumericNodeId(ns=1;i=100011971),Variant,,,2785940.6469042124,Y,Y,Y,
vppHPColdReheatVolume.pro.x,NumericNodeId(ns=1;i=100011972),Variant,,,1.0,Y,Y,Y,
vppHPColdReheatVolume.rho,NumericNodeId(ns=1;i=100011973),Variant,,,10.722609192473639,Y,Y,Y,
vppHPDrumHHAssertTime,NumericNodeId(ns=1;i=100012233),Variant,,,-1.0,Y,Y,Y,
vppHPDrumHHRaw,NumericNodeId(ns=1;i=200000313),Variant,,,False,Y,Y,Y,
vppHPDrumLLAssertTime,NumericNodeId(ns=1;i=100012234),Variant,,,-1.0,Y,Y,Y,
vppHPDrumLLRaw,NumericNodeId(ns=1;i=200000314),Variant,,,False,Y,Y,Y,
vppHPDrumLevelM,NumericNodeId(ns=1;i=100011974),Variant,,,1.0500000068146127,Y,Y,Y,
vppHPDrumPressurePa,NumericNodeId(ns=1;i=100011975),Variant,,,12726424.284500757,Y,Y,Y,
vppHPFWPCheckValve.C1.P,NumericNodeId(ns=1;i=150002785),Variant,,,13245429.245201698,Y,Y,Y,
vppHPFWPCheckValve.C1.Q,NumericNodeId(ns=1;i=150002786),Variant,,,75.88459555177293,Y,Y,Y,
vppHPFWPCheckValve.C1.a,NumericNodeId(ns=1;i=200000315),Variant,,,True,Y,Y,Y,
vppHPFWPCheckValve.C1.b,NumericNodeId(ns=1;i=250000345),Variant,,,True,Y,Y,Y,
vppHPFWPCheckValve.C1.h,NumericNodeId(ns=1;i=150002787),Variant,,,630040.4851905458,Y,Y,Y,
vppHPFWPCheckValve.C1.h_vol,NumericNodeId(ns=1;i=150002788),Variant,,,630040.4851905458,Y,Y,Y,
vppHPFWPCheckValve.C2.P,NumericNodeId(ns=1;i=150002789),Variant,,,13245429.173752408,Y,Y,Y,
vppHPFWPCheckValve.C2.Q,NumericNodeId(ns=1;i=150002790),Variant,,,75.88459555177293,Y,Y,Y,
vppHPFWPCheckValve.C2.a,NumericNodeId(ns=1;i=250000346),Variant,,,True,Y,Y,Y,
vppHPFWPCheckValve.C2.b,NumericNodeId(ns=1;i=200000316),Variant,,,True,Y,Y,Y,
vppHPFWPCheckValve.C2.h,NumericNodeId(ns=1;i=150002791),Variant,,,630040.4851905458,Y,Y,Y,
vppHPFWPCheckValve.C2.h_vol,NumericNodeId(ns=1;i=100011976),Variant,,,630040.4851905458,Y,Y,Y,
vppHPFWPCheckValve.Q,NumericNodeId(ns=1;i=150002792),Variant,,,75.88459555177293,Y,Y,Y,
vppHPFWPCheckValve.deltaP,NumericNodeId(ns=1;i=150002793),Variant,,,0.07588459555177293,Y,Y,Y,
vppHPFWPCheckValve.effectiveResistance,NumericNodeId(ns=1;i=150002794),Variant,,,0.001,Y,Y,Y,
vppHPFWPCheckValve.opening,NumericNodeId(ns=1;i=150002795),Variant,,,1.0,Y,Y,Y,
vppHPFWPCheckValve.openingState,NumericNodeId(ns=1;i=100000254),Variant,,,1.0,Y,Y,Y,
vppHPFWPCheckValve.ouvert,NumericNodeId(ns=1;i=250000347),Variant,,,True,Y,Y,Y,
vppHPFWPCheckValve.valveTarget,NumericNodeId(ns=1;i=100011977),Variant,,,1.0,Y,Y,Y,
vppHPFWPCheckValveDeltaPPa,NumericNodeId(ns=1;i=100011978),Variant,,,0.07588459578219019,Y,Y,Y,
vppHPFWPCheckValveInletPressurePa,NumericNodeId(ns=1;i=100011979),Variant,,,13245429.254080933,Y,Y,Y,
vppHPFWPCheckValveMassFlowTH,NumericNodeId(ns=1;i=100011980),Variant,,,273.1845448158847,Y,Y,Y,
vppHPFWPCheckValveOpen,NumericNodeId(ns=1;i=200000317),Variant,,,True,Y,Y,Y,
vppHPFWPCheckValveOpening,NumericNodeId(ns=1;i=100011981),Variant,,,1.0,Y,Y,Y,
vppHPFWPCheckValveOutletPressurePa,NumericNodeId(ns=1;i=100011982),Variant,,,13245429.178196337,Y,Y,Y,
vppHPFWPCheckValveResistancePaSPerKg,NumericNodeId(ns=1;i=100011983),Variant,,,0.001,Y,Y,Y,
vppHPFWPDeltaPPa,NumericNodeId(ns=1;i=100011984),Variant,,,12872795.350660712,Y,Y,Y,
vppHPFWPMassFlowTH,NumericNodeId(ns=1;i=100011985),Variant,,,273.1845448158847,Y,Y,Y,
vppHPFWPMotorEnergized,NumericNodeId(ns=1;i=200000318),Variant,,,True,Y,Y,Y,
vppHPFWPResetPushbuttonNative,NumericNodeId(ns=1;i=100011986),Variant,,,0.0,Y,Y,Y,
vppHPFWPRunning,NumericNodeId(ns=1;i=200000319),Variant,,,True,Y,Y,Y,
vppHPFWPSpeedCommandRPM,NumericNodeId(ns=1;i=100011987),Variant,,,1400.0,Y,Y,Y,
