rule_id,from_id,to_id,edge_role
AL-IP-PRESS-L,logic:AL-IP-PRESS-L,delay:AL-IP-PRESS-L,DEFINED_DELAY
AL-IP-PRESS-L,PORT:IN-01,logic:AL-IP-PRESS-L,INPUT
AL-IP-PRESS-L,delay:AL-IP-PRESS-L,PORT:OUT-01,OUTPUT
AL-IP-PRESS-LL,logic:AL-IP-PRESS-LL,delay:AL-IP-PRESS-LL,DEFINED_DELAY
AL-IP-PRESS-LL,PORT:IN-01,logic:AL-IP-PRESS-LL,INPUT
AL-IP-PRESS-LL,delay:AL-IP-PRESS-LL,PORT:OUT-01,OUTPUT
AL-LP-FLOW-L,logic:AL-LP-FLOW-L,delay:AL-LP-FLOW-L,DEFINED_DELAY
AL-LP-FLOW-L,PORT:IN-01,logic:AL-LP-FLOW-L,INPUT
AL-LP-FLOW-L,delay:AL-LP-FLOW-L,PORT:OUT-01,OUTPUT
AL-LP-FLOW-LL,logic:AL-LP-FLOW-LL,delay:AL-LP-FLOW-LL,DEFINED_DELAY
AL-LP-FLOW-LL,PORT:IN-01,logic:AL-LP-FLOW-LL,INPUT
AL-LP-FLOW-LL,delay:AL-LP-FLOW-LL,PORT:OUT-01,OUTPUT
AL-LP-LEVEL-H,logic:AL-LP-LEVEL-H,delay:AL-LP-LEVEL-H,DEFINED_DELAY
AL-LP-LEVEL-H,PORT:IN-01,logic:AL-LP-LEVEL-H,INPUT
AL-LP-LEVEL-H,delay:AL-LP-LEVEL-H,PORT:OUT-01,OUTPUT
AL-LP-LEVEL-HH,logic:AL-LP-LEVEL-HH,delay:AL-LP-LEVEL-HH,DEFINED_DELAY
AL-LP-LEVEL-HH,PORT:IN-01,logic:AL-LP-LEVEL-HH,INPUT
AL-LP-LEVEL-HH,delay:AL-LP-LEVEL-HH,PORT:OUT-01,OUTPUT
AL-LP-LEVEL-L,logic:AL-LP-LEVEL-L,delay:AL-LP-LEVEL-L,DEFINED_DELAY
AL-LP-LEVEL-L,PORT:IN-01,logic:AL-LP-LEVEL-L,INPUT
AL-LP-LEVEL-L,delay:AL-LP-LEVEL-L,PORT:OUT-01,OUTPUT
AL-LP-LEVEL-LL,logic:AL-LP-LEVEL-LL,delay:AL-LP-LEVEL-LL,DEFINED_DELAY
AL-LP-LEVEL-LL,PORT:IN-01,logic:AL-LP-LEVEL-LL,INPUT
AL-LP-LEVEL-LL,delay:AL-LP-LEVEL-LL,PORT:OUT-01,OUTPUT
AL-LP-PRESS-L,logic:AL-LP-PRESS-L,delay:AL-LP-PRESS-L,DEFINED_DELAY
AL-LP-PRESS-L,PORT:IN-01,logic:AL-LP-PRESS-L,INPUT
AL-LP-PRESS-L,delay:AL-LP-PRESS-L,PORT:OUT-01,OUTPUT
AL-LP-PRESS-LL,logic:AL-LP-PRESS-LL,delay:AL-LP-PRESS-LL,DEFINED_DELAY
AL-LP-PRESS-LL,PORT:IN-01,logic:AL-LP-PRESS-LL,INPUT
AL-LP-PRESS-LL,delay:AL-LP-PRESS-LL,PORT:OUT-01,OUTPUT
CMD-FWP-HP-RESET,PORT:IN-01,logic:CMD-FWP-HP-RESET,INPUT
CMD-FWP-HP-RESET,logic:CMD-FWP-HP-RESET,PORT:OUT-01,OUTPUT
CMD-FWP-HP-TRIP,PORT:IN-01,logic:CMD-FWP-HP-TRIP,INPUT
CMD-FWP-HP-TRIP,logic:CMD-FWP-HP-TRIP,PORT:OUT-01,OUTPUT
CMD-FWP-HP-TRIP,logic:CMD-FWP-HP-TRIP,PORT:OUT-02,OUTPUT
CMD-FWP-HP-TRIP,logic:CMD-FWP-HP-TRIP,PORT:OUT-03,OUTPUT
CMD-FWP-IP-RESET,PORT:IN-01,logic:CMD-FWP-IP-RESET,INPUT
CMD-FWP-IP-RESET,logic:CMD-FWP-IP-RESET,PORT:OUT-01,OUTPUT
CMD-FWP-IP-TRIP,PORT:IN-01,logic:CMD-FWP-IP-TRIP,INPUT
CMD-FWP-IP-TRIP,logic:CMD-FWP-IP-TRIP,PORT:OUT-01,OUTPUT
CMD-FWP-IP-TRIP,logic:CMD-FWP-IP-TRIP,PORT:OUT-02,OUTPUT
CMD-FWP-IP-TRIP,logic:CMD-FWP-IP-TRIP,PORT:OUT-03,OUTPUT
CMD-FWP-LP-RESET,PORT:IN-01,logic:CMD-FWP-LP-RESET,INPUT
CMD-FWP-LP-RESET,logic:CMD-FWP-LP-RESET,PORT:OUT-01,OUTPUT
CMD-FWP-LP-TRIP,PORT:IN-01,logic:CMD-FWP-LP-TRIP,INPUT
CMD-FWP-LP-TRIP,logic:CMD-FWP-LP-TRIP,PORT:OUT-01,OUTPUT
CMD-FWP-LP-TRIP,logic:CMD-FWP-LP-TRIP,PORT:OUT-02,OUTPUT
CMD-FWP-LP-TRIP,logic:CMD-FWP-LP-TRIP,PORT:OUT-03,OUTPUT
PROT-DIRECT-GT,PORT:IN-01,logic:PROT-DIRECT-GT,INPUT
PROT-DIRECT-GT,logic:PROT-DIRECT-GT,PORT:OUT-01,OUTPUT
PROT-DIRECT-ST,PORT:IN-01,logic:PROT-DIRECT-ST,INPUT
PROT-DIRECT-ST,logic:PROT-DIRECT-ST,PORT:OUT-01,OUTPUT
PROT-GT-BRK-OPEN,PORT:IN-01,logic:PROT-GT-BRK-OPEN,INPUT
PROT-GT-BRK-OPEN,PORT:IN-02,logic:PROT-GT-BRK-OPEN,INPUT
PROT-GT-BRK-OPEN,logic:PROT-GT-BRK-OPEN,PORT:OUT-01,OUTPUT
PROT-GT-LATCH,PORT:IN-01,logic:PROT-GT-LATCH,INPUT
PROT-GT-LATCH,PORT:IN-02,logic:PROT-GT-LATCH,INPUT
PROT-GT-LATCH,logic:PROT-GT-LATCH,PORT:OUT-01,OUTPUT
PROT-GT-REQUEST,PORT:IN-01,logic:PROT-GT-REQUEST,INPUT
PROT-GT-REQUEST,PORT:IN-02,logic:PROT-GT-REQUEST,INPUT
PROT-GT-REQUEST,PORT:IN-03,logic:PROT-GT-REQUEST,INPUT
PROT-GT-REQUEST,PORT:IN-04,logic:PROT-GT-REQUEST,INPUT
PROT-GT-REQUEST,PORT:IN-05,logic:PROT-GT-REQUEST,INPUT
PROT-GT-REQUEST,logic:PROT-GT-REQUEST,PORT:OUT-01,OUTPUT
PROT-HP-DRUM-HH,PORT:IN-01,logic:PROT-HP-DRUM-HH,INPUT
PROT-HP-DRUM-HH,logic:PROT-HP-DRUM-HH,PORT:OUT-01,OUTPUT
PROT-HP-DRUM-LL,PORT:IN-01,logic:PROT-HP-DRUM-LL,INPUT
PROT-HP-DRUM-LL,logic:PROT-HP-DRUM-LL,PORT:OUT-01,OUTPUT
PROT-IP-DRUM-HH,PORT:IN-01,logic:PROT-IP-DRUM-HH,INPUT
PROT-IP-DRUM-HH,logic:PROT-IP-DRUM-HH,PORT:OUT-01,OUTPUT
PROT-IP-DRUM-LL,PORT:IN-01,logic:PROT-IP-DRUM-LL,INPUT
PROT-IP-DRUM-LL,logic:PROT-IP-DRUM-LL,PORT:OUT-01,OUTPUT
PROT-LP-DRUM-HH,PORT:IN-01,logic:PROT-LP-DRUM-HH,INPUT
PROT-LP-DRUM-HH,logic:PROT-LP-DRUM-HH,PORT:OUT-01,OUTPUT
PROT-LP-DRUM-LL,PORT:IN-01,logic:PROT-LP-DRUM-LL,INPUT
PROT-LP-DRUM-LL,logic:PROT-LP-DRUM-LL,PORT:OUT-01,OUTPUT
PROT-ST-LATCH,PORT:IN-01,logic:PROT-ST-LATCH,INPUT
PROT-ST-LATCH,PORT:IN-02,logic:PROT-ST-LATCH,INPUT
PROT-ST-LATCH,logic:PROT-ST-LATCH,PORT:OUT-01,OUTPUT
PROT-ST-REQUEST,PORT:IN-01,logic:PROT-ST-REQUEST,INPUT
PROT-ST-REQUEST,PORT:IN-02,logic:PROT-ST-REQUEST,INPUT
PROT-ST-REQUEST,PORT:IN-03,logic:PROT-ST-REQUEST,INPUT
PROT-ST-REQUEST,PORT:IN-04,logic:PROT-ST-REQUEST,INPUT
PROT-ST-REQUEST,PORT:IN-05,logic:PROT-ST-REQUEST,INPUT
PROT-ST-REQUEST,PORT:IN-06,logic:PROT-ST-REQUEST,INPUT
PROT-ST-REQUEST,PORT:IN-07,logic:PROT-ST-REQUEST,INPUT
PROT-ST-REQUEST,PORT:IN-08,logic:PROT-ST-REQUEST,INPUT
PROT-ST-REQUEST,PORT:IN-09,logic:PROT-ST-REQUEST,INPUT
PROT-ST-REQUEST,logic:PROT-ST-REQUEST,PORT:OUT-01,OUTPUT
RESP-GT-POWER,PORT:IN-01,logic:RESP-GT-POWER,INPUT
RESP-GT-POWER,logic:RESP-GT-POWER,PORT:OUT-01,OUTPUT
RESP-GT-SPEED,PORT:IN-01,logic:RESP-GT-SPEED,INPUT
RESP-GT-SPEED,logic:RESP-GT-SPEED,PORT:OUT-01,OUTPUT
SEQ-52GT-OPEN,logic:SEQ-52GT-OPEN,delay:SEQ-52GT-OPEN,DEFINED_DELAY
SEQ-52GT-OPEN,PORT:IN-01,logic:SEQ-52GT-OPEN,INPUT
SEQ-52GT-OPEN,PORT:IN-02,logic:SEQ-52GT-OPEN,INPUT
SEQ-52GT-OPEN,delay:SEQ-52GT-OPEN,PORT:OUT-01,OUTPUT
SEQ-52GT-TRIPCMD,logic:SEQ-52GT-TRIPCMD,delay:SEQ-52GT-TRIPCMD,DEFINED_DELAY
SEQ-52GT-TRIPCMD,PORT:IN-01,logic:SEQ-52GT-TRIPCMD,INPUT
SEQ-52GT-TRIPCMD,delay:SEQ-52GT-TRIPCMD,PORT:OUT-01,OUTPUT
SEQ-52ST-OPEN,logic:SEQ-52ST-OPEN,delay:SEQ-52ST-OPEN,DEFINED_DELAY
SEQ-52ST-OPEN,PORT:IN-01,logic:SEQ-52ST-OPEN,INPUT
SEQ-52ST-OPEN,PORT:IN-02,logic:SEQ-52ST-OPEN,INPUT
SEQ-52ST-OPEN,delay:SEQ-52ST-OPEN,PORT:OUT-01,OUTPUT
SEQ-52ST-TRIPCMD,PORT:IN-01,logic:SEQ-52ST-TRIPCMD,INPUT
SEQ-52ST-TRIPCMD,logic:SEQ-52ST-TRIPCMD,PORT:OUT-01,OUTPUT
